taxon,reference_no,subfamily,Tribe,Genus,Fossil,min_ma,max_ma,Notes
Formica_serresi,38999,Formicinae,None,Formica,Yes,23.03,28.1,Note
Formica_seuberti,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_strangulata,40999,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_surinamensis,44587,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_trigona,44584,Formicinae,None,Formica,Yes,33.9,38,Note
Formica_tripartita,38999,Formicinae,None,Formica,Yes,28.4,33.9,Note
Formica_ungeri,37344,Formicinae,None,Formica,Yes,11.608,12.7,Note
Formica_zherikhini,44522,Formicinae,None,Formica,Yes,33.9,38,Note
Formicinae,44418,Formicinae,None,None,Yes,46.2,50.3,Note
Fushuniformica_spinata,40725,Formicinae,None,Fushuniformica,Yes,48.6,55.8,Note
Gesomyrmex_bremii,37344,Formicinae,None,Gesomyrmex,Yes,11.608,12.7,Note
Gesomyrmex_breviceps,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_curiosus,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_flavescens,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_germanicus,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Gesomyrmex_hoernesi,40999,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_incertus,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_macrops,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_magnus,56094,Formicinae,None,Gesomyrmex,Yes,33.9,38,Note
Gesomyrmex_pulcher,44599,Formicinae,None,Gesomyrmex,Yes,40.4,48.6,Note
Glaphyromyrmex_oligocenicus,38999,Formicinae,None,Glaphyromyrmex,Yes,28.4,33.9,Note
Heeridris_croaticus,51760,Formicinae,None,Heeridris,Yes,11.608,12.7,Note
Huaxiaformica_mallepetiolata,40725,Formicinae,None,Huaxiaformica,Yes,48.6,55.8,Note
Imhoffia_nigra,37344,Formicinae,None,Imhoffia,Yes,11.608,12.7,Note
Imhoffia_pallida,38709,Formicinae,None,Imhoffia,Yes,11.608,12.7,Note
Kyromyrma_neffi,36269,Formicinae,None,Kyromyrma,Yes,89.8,93.9,Note
Lasius,39931,Formicinae,None,Lasius,Yes,20.44,23.03,Note
Lasius_anthracinus,51760,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_chambonensis,44462,Formicinae,None,Lasius,Yes,2.588,3.6,Note
Lasius_crispus,44462,Formicinae,None,Lasius,Yes,7.246,11.62,Note
Lasius_epicentrus,38999,Formicinae,None,Lasius,Yes,23.03,28.1,Note
Lasius_globularis,38709,Formicinae,None,Lasius,Yes,23.03,28.1,Note
Lasius_glom,55770,Formicinae,None,Lasius,Yes,41.3,47.8,Note
Lasius_inflatus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_longaevus,51392,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_longipennis,37344,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_mordicus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_nemorivagus,40999,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_oblongus,37742,Formicinae,None,Lasius,Yes,5.333,11.608,Note
Lasius_occultatus,37344,Formicinae,None,Lasius,Yes,12.7,13.65,Note
Lasius_ophthalmicus,51392,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_peritulus,4971,Formicinae,None,Lasius,Yes,33.9,37.2,Note
Lasius_pumilus,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_punctulatus,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_schiefferdeckeri,44414,Formicinae,None,Lasius,Yes,33.9,38,Note
Lasius_tertiarius,44614,Formicinae,None,Lasius,Yes,11.608,12.7,Note
Lasius_truncatus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_validus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Lasius_vetulus,16579,Formicinae,None,Lasius,Yes,11.608,15.97,Note
Leptogasteritus_capricornutes,40725,Formicinae,None,Leptogasteritus,Yes,48.6,55.8,Note
Leucotaphus_donisthorpei,51861,Formicinae,None,Leucotaphus,Yes,33.9,38,Note
Leucotaphus_gurnetensis,37729,Formicinae,None,Leucotaphus,Yes,33.9,38,Note
Liaoformica_longipetiolata,40725,Formicinae,None,Liaoformica,Yes,48.6,55.8,Note
Longiformica_dongzhouheensis,40725,Formicinae,None,Longiformica,Yes,48.6,55.8,Note
Longiformica_guchengziensis,40725,Formicinae,None,Longiformica,Yes,48.6,55.8,Note
Magnogasterites_curticornutus,40725,Formicinae,None,Magnogasterites,Yes,48.6,55.8,Note
Myrmecorhynchus_novaeseelandiae,59088,Formicinae,None,Myrmecorhynchus,Yes,20.44,23.03,Note
Nylanderia_pygmaea,44414,Formicinae,None,Nylanderia,Yes,33.9,38,Note
Nylanderia_vetula,44618,Formicinae,None,Nylanderia,Yes,13.82,20.44,Note
Oecophylla_atavina,37729,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_bartoniana,41450,Formicinae,None,Oecophylla,Yes,41.3,47.8,Note
Oecophylla_brischkei,44414,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_crassinoda,40999,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_eckfeldiana,37721,Formicinae,None,Oecophylla,Yes,40.4,48.6,Note
Oecophylla_grandimandibula,51140,Formicinae,None,Oecophylla,Yes,5.333,8.7,Note
Oecophylla_leakeyi,44619,Formicinae,None,Oecophylla,Yes,15.97,20.44,Note
Oecophylla_longiceps,37721,Formicinae,None,Oecophylla,Yes,40.4,48.6,Note
Oecophylla_megarche,37729,Formicinae,None,Oecophylla,Yes,33.9,38,Note
Oecophylla_obesa,37344,Formicinae,None,Oecophylla,Yes,11.608,12.7,Note
Oecophylla_praeclara,38738,Formicinae,None,Oecophylla,Yes,28.4,33.9,Note
Oecophylla_sicula,44518,Formicinae,None,Oecophylla,Yes,5.333,11.608,Note
Oecophylla_superba,38999,Formicinae,None,Oecophylla,Yes,28.4,33.9,Note
Orbicapitia_reticulata,40725,Formicinae,None,Orbicapitia,Yes,48.6,55.8,Note
Ovalicapito_fushunensis,40725,Formicinae,None,Ovalicapito,Yes,48.6,55.8,Note
Ovaligastrula_xilutianensis,40725,Formicinae,None,Ovaligastrula,Yes,48.6,55.8,Note
Plagiolepis_klinsmanni,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_kuenowi,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_labilis,44518,Formicinae,None,Plagiolepis,Yes,5.333,11.608,Note
Plagiolepis_minutissima,44578,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_paradoxa,44621,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_singularis,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_solitaria,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_squamifera,44414,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Plagiolepis_wheeleri,44621,Formicinae,None,Plagiolepis,Yes,33.9,38,Note
Polyrhachis_annosus,42983,Formicinae,None,Polyrhachis,Yes,5.333,7.246,Note
Prenolepis_henschei,39242,Formicinae,,Prenolepis,Yes,33.9,38,Note
Prodimorphomyrmex_primigenius,40999,Formicinae,None,Prodimorphomyrmex,Yes,33.9,38,Note
Protoformica_proformicoides,11234,Formicinae,None,Protoformica,Yes,33.9,38,Note
Protomyrmica_atavia,44624,Formicinae,None,Protomyrmica,Yes,33.9,38,Note
Protrechina_carpenteri,38990,Formicinae,None,Protrechina,Yes,38,41.3,Note
Pseudocamponotus_elkoanus,4971,Formicinae,None,Pseudocamponotus,Yes,28.4,37.2,Note
Pseudolasius_boreus,40999,Formicinae,None,Pseudolasius,Yes,33.9,38,Note
Sicilomyrmex_corniger,44518,Formicinae,None,Sicilomyrmex,Yes,5.333,11.608,Note
Sinoformica_longicapitata,40725,Formicinae,None,Sinoformica,Yes,48.6,55.8,Note
Sinotenuicapito_badis,40725,Formicinae,None,Sinotenuicapito,Yes,48.6,55.8,Note
Wilsonia_liaoningensis,40725,Formicinae,None,Wilsonia,Yes,48.6,55.8,Note
Wilsonia_megagastrosa,40725,Formicinae,None,Wilsonia,Yes,48.6,55.8,Note
Zatania_electra,44640,Formicinae,None,Zatania,Yes,13.82,20.44,Note
Formicium_berryi,44588,Fomiciinae,None,Formicium,Yes,38,41.3,Note
Formicium_brodiei,49700,Fomiciinae,None,Formicium,Yes,33.9,38,Note
Calyptites_antediluvianum,39765,Incertae,None,Calyptites,Yes,23.03,33.9,"Possibly not an ant, date seems goofy"
Camelomecia,58266,Incertae,None,Camelomecia,Yes,93.5,99.6,Possibly not an ant
Camelomecia_janovitzi,58266,Incertae,None,Camelomecia,Yes,93.5,99.6,Possibly not an ant
Cretopone_magna,37059,Incertae,None,Cretopone,Yes,89.8,93.9,Possibly not an ant
Curticorna_leptogastrosa,40725,Incertae,None,Curticorna,Yes,48.6,55.8,Possibly not an ant
Eoaenictites_castanifurvus,40725,Incertae,None,Eoaenictites,Yes,48.6,55.8,Maybe not an ant
Eoformica_brevipetiola,55770,Incertae,None,Eoformica,Yes,41.3,47.8,Maybe not an ant
Eoformica_expectans,38999,Incertae,None,Eoformica,Yes,28.4,33.9,Maybe not an ant
Eoformica_globularis,44418,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Eoformica_latimedia,55770,Incertae,None,Eoformica,Yes,41.3,47.8,Maybe not an ant
Eoformica_magna,44418,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Eoformica_pinguis,5045,Incertae,None,Eoformica,Yes,46.2,50.3,Maybe not an ant
Fonsecahymen_stigmata,44582,Incertae,None,Fonsecahymen,Yes,33.9,38,Maybe not an ant
Klondikia_whiteae,44418,Incertae,None,Klondikia,Yes,47.8,56,Maybe not an ant
Kohlsimyrma_gracilis,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Kohlsimyrma_laticeps,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Kohlsimyrma_longiceps,44418,Incertae,None,Kohlsimyrma,Yes,46.2,50.3,Maybe not an ant
Myanmyrma_gracilis,36535,Incertae,None,Myanmyrma,Yes,93.5,99.6,Maybe not an ant
Petropone_petiolata,37059,Incertae,None,Petropone,Yes,89.8,93.9,Note
Eocynipites_xilutianensis,40725,Insect,None,Eocynipites,Yes,48.6,55.8,Not an ant
Pristomyrmex_rasnitsyni,44628,Myrmicinae,None,Pristomyrmex,Yes,33.9,38,Note
Quadrulicapito_longa,40725,Myrmicinae,None,Quadrulicapito,Yes,48.6,55.8,Note
Sinomyrmex_brunneus,40725,Myrmicinae,None,Sinomyrmex,Yes,48.6,55.8,Note
Sinomyrmex_furvis,40725,Myrmicinae,None,Sinomyrmex,Yes,48.6,55.8,Note
Solenopsidini,39931,Myrmicinae,Solenopsidini,Solenopsidini,Yes,20.44,23.03,Note
Solenopsis,56112,Myrmicinae,Solenopsidini,Solenopsis,Yes,5.333,8.7,Note
Solenopsis_alena,38999,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_blanda,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_foersteri,38999,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_maxima,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_moesta,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_privata,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_superba,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsis_valida,38738,Myrmicinae,Solenopsidini,Solenopsis,Yes,28.4,33.9,Note
Solenopsites_abdita,55770,Myrmicinae,Solenopsidini,Solenopsites,Yes,41.3,47.8,Note
Solenopsites_minutus,44418,Myrmicinae,Solenopsidini,Solenopsites,Yes,46.2,50.3,Note
Solenopsites_rossi,51861,Myrmicinae,Solenopsidini,Solenopsites,Yes,33.9,38,Note
Veromessor_andrei,52639,Myrmicinae,None,Veromessor,Yes,0.012,0.3,Note
Vollenhovia_beyrichi,44414,Myrmicinae,None,Vollenhovia,Yes,33.9,38,Note
Vollenhovia_prisca,44622,Myrmicinae,None,Vollenhovia,Yes,33.9,38,Note
Wumyrmex_furvis,40725,Myrmicinae,None,Wumyrmex,Yes,48.6,55.8,Note
Zhangidris_atopogaster,16579,Myrmicinae,None,Zhangidris,Yes,11.608,15.97,Note
Archimyrmex_piatnitzkyi,44403,Myrmiciinae,None,Archimyrmex,Yes,41.3,47.8,Note
Archimyrmex_rostratus,44405,Myrmiciinae,None,Archimyrmex,Yes,46.2,50.3,Note
Archimyrmex_smekali,44436,Myrmiciinae,None,Archimyrmex,Yes,41.3,47.8,Note
Archimyrmex_wedmannae,41794,Myrmiciinae,None,Archimyrmex,Yes,40.4,48.6,Note
Avitomyrmex_elongatus,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Avitomyrmex_mastax,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Avitomyrmex_systenus,38422,Myrmiciinae,None,Avitomyrmex,Yes,47.8,56,Note
Myrmeciites,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites_goliath,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites_herculeanus,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Myrmeciites_tabanifluviensis,38422,Myrmiciinae,None,Myrmeciites,Yes,47.8,56,Note
Prionomyrmex,49311,Myrmiciinae,None,Prionomyrmex,Yes,33.9,38,Note
Prionomyrmex_janzeni,44627,Myrmiciinae,None,Prionomyrmex,Yes,33.9,56,Note
Prionomyrmex_longiceps,44414,Myrmiciinae,None,Prionomyrmex,Yes,33.9,38,Note
Prionomyrmex_wappleri,41794,Myrmiciinae,None,Prionomyrmex,Yes,23.03,28.4,Note
Ypresiomyrma_bartletti,38422,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Ypresiomyrma_orbiculata,38422,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Ypresiomyrma_orientalis,56094,Myrmiciinae,None,Ypresiomyrma,Yes,33.9,38,Note
Ypresiomyrma_rebekkae,44639,Myrmiciinae,None,Ypresiomyrma,Yes,47.8,56,Note
Acanthognathus_poinari,44409,Myrmicinae,None,Acanthognathus,Yes,13.82,20.44,Note
Afromyrma_petrosa,38353,Myrmicinae,None,Afromyrma,Yes,89.8,93.9,Note
Agastomyrma_laticeps,56094,Myrmicinae,None,Agastomyrma,Yes,33.9,38,Note
Aphaenogaster,34859,Myrmicinae,None,Aphaenogaster,Yes,5.333,7.246,Note
Aphaenogaster_amphioceanica,5186,Myrmicinae,,Aphaenogaster,Yes,13.82,20.44,Note
Aphaenogaster_antiqua,44578,Myrmicinae,,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster_archaica,44433,Myrmicinae,,Aphaenogaster,Yes,23.03,28.4,Note
Aphaenogaster_avita,34858,Myrmicinae,None,Aphaenogaster,Yes,13.82,15.97,Note
Aphaenogaster_donisthorpei,4971,Myrmicinae,,Aphaenogaster,Yes,33.9,37.2,Note
Aphaenogaster_dumetora,47627,Myrmicinae,,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster_lapidescens,16579,Myrmicinae,,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster_longaeva,39765,Myrmicinae,Attini,Aphaenogaster,Yes,23.03,33.9,Note
Aphaenogaster_maculata,38999,Myrmicinae,,Aphaenogaster,Yes,23.03,28.1,Note
Aphaenogaster_maculipes,38999,Myrmicinae,,Aphaenogaster,Yes,28.4,33.9,Note
Aphaenogaster_mayri,4971,Myrmicinae,,Aphaenogaster,Yes,33.9,37.2,Note
Aphaenogaster_mersa,40999,Myrmicinae,,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster_oligocenica,40999,Myrmicinae,,Aphaenogaster,Yes,33.9,38,Note
Aphaenogaster_paludosa,16579,Myrmicinae,,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster_pannonica,44435,Myrmicinae,,Aphaenogaster,Yes,5.333,7.246,Note
Aphaenogaster_praerelicta,5186,Myrmicinae,,Aphaenogaster,Yes,15.97,23.03,Note
Aphaenogaster_shanwangensis,15208,Myrmicinae,,Aphaenogaster,Yes,11.608,15.97,Note
Aphaenogaster_sommerfeldti,44414,Myrmicinae,,Aphaenogaster,Yes,33.9,38,Note
Apterostigma_electropilosum,40811,Myrmicinae,,Apterostigma,Yes,13.82,20.44,Note
Apterostigma_eowilsoni,40811,Myrmicinae,,Apterostigma,Yes,13.82,20.44,Note
Attopsis_longipennis,37344,Myrmicinae,None,Attopsis,Yes,11.608,12.7,Note
Attopsis_longipes,38709,Myrmicinae,None,Attopsis,Yes,11.608,12.7,Note
Biamomyrma_lata,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Biamomyrma_rugosa,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Biamomyrma_zherikhini,56094,Myrmicinae,None,Biamomyrma,Yes,33.9,38,Note
Bilobomyrma_baltica,48824,Myrmicinae,None,Bilobomyrma,Yes,33.9,38,Note
Bilobomyrma_ukrainica,48824,Myrmicinae,None,Bilobomyrma,Yes,33.9,38,Note
Boltonidris_mirabilis,48397,Myrmicinae,None,Boltonidris,Yes,33.9,38,Note
Brachytarsites_dongzhouheensis,40725,Myrmicinae,None,Brachytarsites,Yes,48.6,55.8,Note
Carebara_antiqua,44414,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Carebara_bohemica,44517,Myrmicinae,Crematogastrini,Carebara,Yes,15.97,16.9,Note
Carebara_nitida,44578,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Carebara_rugiceps,37344,Myrmicinae,Crematogastrini,Carebara,Yes,11.608,12.7,Note
Carebara_schossnicensis,37742,Myrmicinae,Crematogastrini,Carebara,Yes,5.333,11.608,Note
Carebara_sophiae,44518,Myrmicinae,Crematogastrini,Carebara,Yes,5.333,11.608,Note
Carebara_thorali,44519,Myrmicinae,Crematogastrini,Carebara,Yes,23.03,28.1,Note
Carebara_ucrainica,44578,Myrmicinae,Crematogastrini,Carebara,Yes,33.9,38,Note
Cataulacus,51392,Myrmicinae,None,Cataulacus,Yes,11.608,12.7,Note
Cataulacus_planiceps,44518,Myrmicinae,None,Cataulacus,Yes,5.333,11.608,Note
Cataulacus_plebeius,44523,Myrmicinae,None,Cataulacus,Yes,15.97,20.44,Note
Cataulacus_silvestrii,44518,Myrmicinae,None,Cataulacus,Yes,5.333,11.608,Note
Cephalomyrmex_rotundatus,4971,Myrmicinae,None,Cephalomyrmex,Yes,33.9,37.2,Note
Cephalotes,57466,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes_alveolatus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_bloosi,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_brevispineus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_caribicus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_dieteri,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_hispaniolicus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_integerrimus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_jansei,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_maya,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes_obscurus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_olmecus,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes_poinari,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Cephalotes_resinae,40586,Myrmicinae,None,Cephalotes,Yes,0,0.0117,Note
Cephalotes_serratus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_squamosus,40531,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_sucinus,40586,Myrmicinae,None,Cephalotes,Yes,13.82,20.44,Note
Cephalotes_taino,40586,Myrmicinae,None,Cephalotes,Yes,0,0.0117,Note
Cephalotes_ventriosus,40586,Myrmicinae,None,Cephalotes,Yes,15.97,23.03,Note
Clavipetiola_asiatica,40725,Myrmicinae,None,Clavipetiola,Yes,48.6,55.8,Note
Crematogaster,57466,Myrmicinae,None,Crematogaster,Yes,15.97,23.03,Note
Crematogaster_aurora,55770,Myrmicinae,None,Crematogaster,Yes,41.3,47.8,Note
Crematogaster_praecursor,44518,Myrmicinae,None,Crematogaster,Yes,5.333,11.608,Note
Cyphomyrmex_maya,44526,Myrmicinae,None,Cyphomyrmex,Yes,15.97,23.03,Note
Cyphomyrmex_taino,44526,Myrmicinae,None,Cyphomyrmex,Yes,13.82,20.44,Note
Electroponera_dubia,40999,Myrmicinae,None,Electroponera,Yes,33.9,38,Note
Enneamerus_reticulatus,44414,Myrmicinae,None,Enneamerus,Yes,33.9,38,Note
Eocenidris_crassa,38990,Myrmicinae,None,Eocenidris,Yes,38,41.3,Note
Eocenomyrma_electrina,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma_elegantula,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma_orthospina,44580,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eocenomyrma_rugosostriata,44414,Myrmicinae,None,Eocenomyrma,Yes,33.9,38,Note
Eomyrmex_guchengziensis,44613,Myrmicinae,None,Eomyrmex,Yes,48.6,55.8,Note
Fallomyrma_transversa,44581,Myrmicinae,None,Fallomyrma,Yes,33.9,38,Note
Fushunomyrmex_liaoningensis,40725,Myrmicinae,None,Fushunomyrmex,Yes,48.6,55.8,Note
Hypopomyrmex_bombiccii,44518,Myrmicinae,None,Hypopomyrmex,Yes,5.333,11.608,Note
Ilemomyrmex_caecus,5205,Myrmicinae,None,Ilemomyrmex,Yes,13.82,20.44,Note
Leptothorax,39515,Myrmicinae,None,Leptothorax,Yes,5.333,7.246,Note
Leptothorax_muscorum,54747,Myrmicinae,None,Leptothorax,Yes,0.0117,0.126,Note
Lonchomyrmex_freyeri,38709,Myrmicinae,None,Lonchomyrmex,Yes,11.608,12.7,Note
Lonchomyrmex_nigritus,37742,Myrmicinae,None,Lonchomyrmex,Yes,5.333,11.608,Note
Macabeemyrma_ovata,38422,Myrmicinae,None,Macabeemyrma,Yes,47.8,56,Note
Messor,34859,Myrmicinae,None,Messor,Yes,5.333,7.246,Note
Messor_sculpturatus,4971,Myrmicinae,None,Messor,Yes,33.9,37.2,Note
Miosolenopsis_fossilis,16579,Myrmicinae,None,Miosolenopsis,Yes,11.608,15.97,Note
Monomorium,44580,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium_kugleri,40645,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium_mayrianum,44414,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Monomorium_pilipes,44414,Myrmicinae,None,Monomorium,Yes,33.9,38,Note
Myrmecites_dubius,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmecites_latus,51760,Myrmicinae,None,Myrmecites,Yes,11.608,12.7,Note
Myrmecites_major,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmecites_pusillus,37344,Myrmicinae,None,Myrmecites,Yes,11.608,12.7,Note
Myrmecites_rotundiceps,44418,Myrmicinae,None,Myrmecites,Yes,46.2,50.3,Note
Myrmecites_sibiricus,56094,Myrmicinae,None,Myrmecites,Yes,33.9,38,Note
Myrmica,37344,Myrmicinae,None,Myrmica,Yes,11.608,12.7,Note
Myrmica_eocenica,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica_incompleta,54747,Myrmicinae,None,Myrmica,Yes,0.0117,0.126,Note
Myrmica_intermedia,40999,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica_lobifrons,55325,Myrmicinae,None,Myrmica,Yes,0.0117,0.126,Note
Myrmica_longispinosa,44414,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica_paradoxa,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmica_rudis,40541,Myrmicinae,None,Myrmica,Yes,33.9,38,Note
Myrmicinae,34859,Myrmicinae,None,None,Yes,5.333,7.246,Note
Myrmicites,38738,Myrmicinae,None,Myrmicites,Yes,28.4,33.9,Note
Nesomyrmex_caritatis,44617,Myrmicinae,None,Nesomyrmex,Yes,13.82,20.44,Note
Nesomyrmex_dominicanus,44617,Myrmicinae,None,Nesomyrmex,Yes,13.82,20.44,Note
Orbigastrula_guchengziensis,40725,Myrmicinae,None,Orbigastrula,Yes,48.6,55.8,Note
Oxyidris_antillana,5205,Myrmicinae,None,Oxyidris,Yes,13.82,20.44,Note
Parameranoplus_primaevus,40999,Myrmicinae,None,Parameranoplus,Yes,33.9,38,Note
Paraphaenogaster_hooleyana,51861,Myrmicinae,None,Paraphaenogaster,Yes,33.9,38,Note
Paraphaenogaster_jurinei,37344,Myrmicinae,None,Paraphaenogaster,Yes,11.608,12.7,Note
Paraphaenogaster_microphthalmus,41286,Myrmicinae,None,Paraphaenogaster,Yes,11.608,15.97,Note
Paraphaenogaster_tertiaria,37344,Myrmicinae,None,Paraphaenogaster,Yes,11.608,12.7,Note
Pheidole,44620,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Pheidole_cordata,44586,Myrmicinae,None,Pheidole,Yes,33.9,38,Note
Pheidole_pallidula,56112,Myrmicinae,None,Pheidole,Yes,5.333,8.7,Note
Pheidole_primigenia,44620,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Pheidole_rasnitsyni,47543,Myrmicinae,None,Pheidole,Yes,0,0.0117,Note
Pheidole_tertiaria,4971,Myrmicinae,None,Pheidole,Yes,33.9,37.2,Note
Pheidole_tethepa,5205,Myrmicinae,None,Pheidole,Yes,13.82,20.44,Note
Plesiomyrmex_tubulatus,44624,Myrmicinae,None,Plesiomyrmex,Yes,33.9,38,Note
Podomyrma_mayri,44518,Myrmicinae,None,Podomyrma,Yes,5.333,11.608,Note
Pogonomyrmex_fossilis,4971,Myrmicinae,None,Pogonomyrmex,Yes,33.9,37.2,Note
Quineangulicapito_fushunensis,40725,Myrmicinae,None,Quineangulicapito,Yes,48.6,55.8,Note
Sphaerogasterites_longipetiolatus,40725,Myrmicinae,None,Sphaerogasterites,Yes,48.6,55.8,Note
Stenamma_berendti,44414,Myrmicinae,None,Stenamma,Yes,33.9,38,Note
Stigmomyrmex_venustus,44414,Myrmicinae,None,Stigmomyrmex,Yes,33.9,38,Note
Stiphromyrmex_robustus,44414,Myrmicinae,None,Stiphromyrmex,Yes,33.9,38,Note
Strumigenys_electrina,44409,Myrmicinae,None,Strumigenys,Yes,13.82,20.44,Note
